from_node,to_node,distance_km
godown_Nizamabad,shop_1809025,32.195
godown_Nizamabad,shop_1809026,40.909
godown_Nizamabad,shop_1809027,36.919
godown_Nizamabad,shop_1809028,32.713
godown_Nizamabad,shop_1810003,20.018
godown_Nizamabad,shop_1810005,23.95
godown_Nizamabad,shop_1810006,23.638
godown_Nizamabad,shop_1810007,23.917
godown_Nizamabad,shop_1810008,24.363
godown_Nizamabad,shop_1810009,24.477
godown_Nizamabad,shop_1810010,21.904
godown_Nizamabad,shop_1810011,25.31
godown_Nizamabad,shop_1810012,14.722
godown_Nizamabad,shop_1810013,8023.457
godown_Nizamabad,shop_1810014,17.343
godown_Nizamabad,shop_1810015,17.778
godown_Nizamabad,shop_1810016,19.646
godown_Nizamabad,shop_1810017,19.765
godown_Nizamabad,shop_1810018,25.689
godown_Nizamabad,shop_1810019,18.214
godown_Nizamabad,shop_1810020,18.963
godown_Nizamabad,shop_1810021,2.318
godown_Nizamabad,shop_1810022,19.43
godown_Nizamabad,shop_1810023,20.038
godown_Nizamabad,shop_1810024,17.212
godown_Nizamabad,shop_1810025,19.762
godown_Nizamabad,shop_1810472,19.153
godown_Nizamabad,shop_1810473,19.562
godown_Nizamabad,shop_1811001,9.406
godown_Nizamabad,shop_1811002,8.766
godown_Nizamabad,shop_1811003,8.412
godown_Nizamabad,shop_1811004,11.847
godown_Nizamabad,shop_1811005,6.915
godown_Nizamabad,shop_1811006,6.55
godown_Nizamabad,shop_1811007,9.366
godown_Nizamabad,shop_1811008,7.22
godown_Nizamabad,shop_1811009,6.897
godown_Nizamabad,shop_1811010,7.788
godown_Nizamabad,shop_1811016,11.431
godown_Nizamabad,shop_1811017,11.173
godown_Nizamabad,shop_1811018,18.577
godown_Nizamabad,shop_1811019,19.889
godown_Nizamabad,shop_1811020,17.637
godown_Nizamabad,shop_1811021,16.359
godown_Nizamabad,shop_1811022,12.86
godown_Nizamabad,shop_1811023,11.487
godown_Nizamabad,shop_1811024,15.57
godown_Nizamabad,shop_1811025,13.883
godown_Nizamabad,shop_1811026,15.2
godown_Nizamabad,shop_1811027,17.219
godown_Nizamabad,shop_1811028,16.273
godown_Nizamabad,shop_1811029,9.487
